作者,组别,赛段,上赛段推荐票,编辑推荐,在售作品
大姑娘浪,言情,1,4846,0,2
周板娘,言情,1,3217,0,1
坡西米,言情,1,3204,0,5
陆雾,言情,1,1647,0,5
小格,言情,1,1039,0,8
戒了五花肉,言情,1,782,0,8
严秋,言情,1,765,0,2
吃书的狐狸,言情,1,680,0,1
林春令,言情,1,559,0,1
天涯蝴蝶浪子,言情,1,478,0,4
林不答,言情,1,330,1,4
我想喝奶茶,言情,1,294,1,1
阮郎不归,言情,1,239,1,1
谢心甘,言情,1,163,1,1
余元元,言情,1,128,1,2
玻璃硬汉,言情,1,114,1,1
关忆,言情,1,48,1,5
宝盖儿,言情,1,34,1,2
鱼穿鞋,言情,1,30,1,1
简衡衡,言情,1,25,1,1
S飒,悬疑,1,1560,0,5
张半天,悬疑,1,1266,0,10
徐暮明,悬疑,1,1231,0,2
不明眼,悬疑,1,921,0,7
贝客邦,悬疑,1,834,0,7
波兰黑加仑,悬疑,1,613,0,3
陆春吾,悬疑,1,611,0,2
言定瑀,悬疑,1,573,0,2
赛西娅,悬疑,1,515,0,3
角木蛟,悬疑,1,488,0,3
易何,悬疑,1,352,1,1
木一杨柳,悬疑,1,248,1,4
吉良,悬疑,1,205,1,3
谭笑墨,悬疑,1,137,1,3
溯阳,悬疑,1,122,1,5
莫小绵,悬疑,1,112,1,1
慢三,悬疑,1,89,1,13
东坡柚,悬疑,1,68,1,3
土遁的地瓜,悬疑,1,52,1,4
李珏,悬疑,1,18,1,6
天下第一郭,幻想,1,1118,0,4
十三弦声,幻想,1,1106,0,2
李冬,幻想,1,639,0,10
石径斜,幻想,1,374,0,3
鹿迢迢,幻想,1,355,0,8
回渊,幻想,1,312,0,6
Lady Panda,幻想,1,311,0,5
阿日希,幻想,1,308,0,1
三月日,幻想,1,296,0,3
老人家,幻想,1,291,0,2
寡人有猫,幻想,1,166,1,4
张亦非,幻想,1,122,1,6
六薰,幻想,1,91,1,1
狐三火,幻想,1,64,1,1
冰镇银河水,幻想,1,57,1,1
别衡,幻想,1,15,1,2
利兹啊栗子,幻想,1,10,1,3
刘恋人世间,幻想,1,8,1,1
林三撇,幻想,1,8,1,1
今朝由九,幻想,1,2,1,1
兰思思,女性,1,3045,0,20
李尾,女性,1,2041,0,1
祖乐,女性,1,1643,0,6
爻一一,女性,1,1016,0,6
丢小魂,女性,1,735,0,2
孙沁言,女性,1,687,0,13
易难,女性,1,670,0,13
安迪,女性,1,646,0,1
露西花,女性,1,612,0,4
叶眉,女性,1,603,0,6
梁鹤,女性,1,427,1,2
泡菜桑,女性,1,178,1,2
杬小如,女性,1,122,1,1
叫我李太太,女性,1,95,1,2
陆禾,女性,1,91,1,11
拾光葱葱,女性,1,73,1,15
9月白鹭,女性,1,16,1,1
龙潜十八,女性,1,5,1,1
